72.2,106.2,81,121.1,140.1,90.6,68.9,198.8,89,220.7,212,99.5
180.7,164.5,92.7,90.6,133.7,97.5,38.6,41.5,41.8,150.4,22.7,57.1
14.2,127.8,63.3,294.8,93.5,125.4,94.7,62.1,166.8,41.6,182.4,100.4
78.1,26.9,67.1,183.2,73,61.3,56.1,46,76.5,286.9,236,79
75,106.1,47.6,122,142,90.3,32.9,28.7,149.5,209.4,285.8,8.5
58.4,54.5,60.3,166.1,78.6,159,110.4,71.4,55.3,400.8,161.7,202.2
8.8,1.5,71.8,153.2,89.2,44.6,34.9,103.4,198.5,196.4,113,117.4
155,57.3,3,241.5,57.9,242.7,59.8,30.7,456.7,196.8,135,43.6
98.7,149.8,40.3,50.6,80.7,122.7,54.8,172.6,185.7,74.8,113.7,215.4
130.5,181,31.6,121.6,117.6,123.9,59.2,63.1,169.7,270.1,288,143.1
132,12.4,15.4,69.3,58.4,188.4,39.7,43.9,26,49.8,335.6,205.1
144.8,43.9,29.8,257.4,89.6,54.6,4.5,42.4,244.2,197.7,132.7,44
72.7,65,152.1,215.6,67.9,78.2,30.3,86.1,134.7,242.7,209.1,130
9.2,4.2,203.7,96,56.5,180.5,35.2,50.4,70.7,293.6,534.7,99.6
159.3,61.1,380.9,168.5,115.7,45.4,80.9,32,222.1,113.3,105.8,25.9
30.1,64.3,22.1,131,103.6,66.1,124.1,125.2,149.9,189.8,222.4,210
111.1,29.4,24.1,147.7,22.8,60.3,27,45.6,51.5,158.4,313.6,136.2
102.5,176.4,99.4,93.4,134,105.9,35.4,24.2,147.7,223.3,123,83.4
40.4,38.1,59.4,186.9,49.7,29.3,74.9,162.4,104.5,162.5,118,210.5
99.9,105.4,172.2,68.9,38.4,33,60.8,187.4,196.8,100.5,86.3,102.3
131.5,183.7,128.7,26.8,98.7,99.8,27.4,53.3,121.7,149.7,119.8,39.2
120.8,58,114.4,193.9,122.3,156,45.5,20.1,58.3,152.9,335.1,307.6
291.9,121.2,170.9,218.7,32.1,61.2,36.9,44.5,122.6,103.2,165.8,452.3
126.3,180.8,106.1,114.9,194.2,143.4,44.5,114.9,183.7,212.8,390.3,351.3
102.8,81,146.3,41.5,62.8,173,53.7,15.3,133.5,245,86.1,185.2
53.4,70.7,51.2,249.2,113.2,47.8,17,58,191.7,209.6,360.4,119.6
186.5,150.4,393.5,203,217.7,36.2,34.9,41.6,89.1,232.6,215.1,182.3
474.5,285.5,161.1,99.5,99.5,145.6,142.5,48.3,114.1,114.9,379.3,87.3
101,162.5,104.3,71.5,76.6,59.4,8.3,115.3,90.6,261.6,37,4.6
220.6,324.9,131.1,48.4,181.7,96.2,53.3,36.5,46.3,154.5,236.2,15.3
49.7,205,110.2,87.3,96.7,41,38.4,8.5,209.4,9.4,220.3,399.6
49.6,184,294.6,141.3,167.6,48.6,60.4,78.1,59.6,243.6,154,33.1
71.8,192.6,37.7,210,337.1,14.8,87.3,57.6,95.2,140.7,480.7,225
50.5,55.1,218.9,65.8,120.6,114.1,56.9,177.4,77.5,246.5,47.2,415.9
