17.4,21.7,96.8,10.3,21.5,67.2,22.3,21.6,18.8,85.6,27.3,173
34.7,147.7,25.6,95.3,250.6,46.7,28.5,11.7,11.5,21.2,272.5,204.7
166.3,171.2,323,205.9,130.1,43.9,15.6,8.9,6.4,49.3,113.7,66.4
62.9,183.2,105.1,40.3,69.4,12.1,7.1,3,21.6,6.8,70.2,321.5
127.7,208.1,175.6,55.3,75.5,38.5,20.2,9.6,5.9,18.2,149.8,54.9
72,129.7,198.1,123.3,50.8,26.8,15.6,15.9,17.1,82.7,22.5,11.5
333.8,265.3,143.6,73.9,60.7,32.6,28.9,19.4,23,33.8,208.7,87.7
48.5,74.2,201.3,135.8,67.8,20.4,8.3,9.2,12,36.2,51.6,99
49,35.3,78.1,175,95.1,30.7,10.8,6.7,26.1,94.1,299.4,192.5
,167.9,109.8,178.3,93.3,,,,,,,131.9
,,,,,31.8,14.1,10.2,19.8,83.9,254.7,267.8
172.3,107.4,103,127.4,57.3,28.7,,,,,,
44.1,17.4,33.7,89.8,42.7,58.7,5.1,1.3,1.6,12.2,76.1,
49.6,89.4,57.5,59.8,21.7,23.4,4,4.9,8.5,23.5,,
